,,,,,,
"Measure category",Measure_Type,Pre_Main_Heating_Source,"Total Floor Area Band ","Starting Band","Average Treatable Factor","Cost Savings"
"Cavity Wall Insulation",CWI_0.040,N/A,200+,High_F,0.95,338.9
"Cavity Wall Insulation",CWI_0.040,N/A,200+,Low_F,0.95,378.3
"Cavity Wall Insulation",CWI_0.040,N/A,200+,High_G,0.95,431.5
"Cavity Wall Insulation",CWI_0.040,N/A,200+,Low_G,0.95,488.7
"Cavity Wall Insulation",CWI_0.033,N/A,200+,High_B,0.95,227.6
"Cavity Wall Insulation",CWI_0.033,N/A,200+,Low_B,0.95,230.2
"Cavity Wall Insulation",CWI_0.033,N/A,200+,High_C,0.95,236.3
"Cavity Wall Insulation",CWI_0.033,N/A,200+,Low_C,0.95,244.2
"Cavity Wall Insulation",CWI_0.033,N/A,200+,High_D,0.95,257.7
"Cavity Wall Insulation",CWI_0.033,N/A,200+,Low_D,0.95,273.7
"Cavity Wall Insulation",CWI_0.033,N/A,200+,High_E,0.95,297.9
"Cavity Wall Insulation",CWI_0.033,N/A,200+,Low_E,0.95,325.1
"Cavity Wall Insulation",CWI_0.033,N/A,200+,High_F,0.95,363.6
"Cavity Wall Insulation",CWI_0.033,N/A,200+,Low_F,0.95,405.7
"Cavity Wall Insulation",CWI_0.033,N/A,200+,High_G,0.95,462.6
"Cavity Wall Insulation",CWI_0.033,N/A,200+,Low_G,0.95,523.8
"Cavity Wall Insulation",CWI_0.027,N/A,200+,High_B,0.95,242.9
"Cavity Wall Insulation",CWI_0.027,N/A,200+,Low_B,0.95,245.7
"Cavity Wall Insulation",CWI_0.027,N/A,200+,High_C,0.95,252.1
"Cavity Wall Insulation",CWI_0.027,N/A,200+,Low_C,0.95,260.5
"Cavity Wall Insulation",CWI_0.027,N/A,200+,High_D,0.95,274.8
"Cavity Wall Insulation",CWI_0.027,N/A,200+,Low_D,0.95,291.7
"Cavity Wall Insulation",CWI_0.027,N/A,200+,High_E,0.95,317.4
"Cavity Wall Insulation",CWI_0.027,N/A,200+,Low_E,0.95,346.3
"Cavity Wall Insulation",CWI_0.027,N/A,200+,High_F,0.95,387.1
"Cavity Wall Insulation",CWI_0.027,N/A,200+,Low_F,0.95,431.9
"Cavity Wall Insulation",CWI_0.027,N/A,200+,High_G,0.95,492.2
"Cavity Wall Insulation",CWI_0.027,N/A,200+,Low_G,0.95,557.3
"Cavity Wall Insulation",PWI_Cavity,N/A,200+,High_B,0.95,30.1
"Cavity Wall Insulation",PWI_Cavity,N/A,200+,Low_B,0.95,30.1
"Cavity Wall Insulation",PWI_Cavity,N/A,200+,High_C,0.95,30.6
"Cavity Wall Insulation",PWI_Cavity,N/A,200+,Low_C,0.95,31.4
"Cavity Wall Insulation",PWI_Cavity,N/A,200+,High_D,0.95,33.1
"Cavity Wall Insulation",PWI_Cavity,N/A,200+,Low_D,0.95,35.1
"Cavity Wall Insulation",PWI_Cavity,N/A,200+,High_E,0.95,38.4
"Cavity Wall Insulation",PWI_Cavity,N/A,200+,Low_E,0.95,42.2
"Cavity Wall Insulation",PWI_Cavity,N/A,200+,High_F,0.95,47.6
"Cavity Wall Insulation",PWI_Cavity,N/A,200+,Low_F,0.95,53.8
"Cavity Wall Insulation",PWI_Cavity,N/A,200+,High_G,0.95,62.1
"Cavity Wall Insulation",PWI_Cavity,N/A,200+,Low_G,0.95,71.2
"Cavity Wall Insulation",CWI_partial_fill,N/A,200+,High_B,0.95,44.8
"Cavity Wall Insulation",CWI_partial_fill,N/A,200+,Low_B,0.95,45.1
"Cavity Wall Insulation",CWI_partial_fill,N/A,200+,High_C,0.95,46.1
"Cavity Wall Insulation",CWI_partial_fill,N/A,200+,Low_C,0.95,47.4
"Cavity Wall Insulation",CWI_partial_fill,N/A,200+,High_D,0.95,49.9
"Cavity Wall Insulation",CWI_partial_fill,N/A,200+,Low_D,0.95,52.8
"Cavity Wall Insulation",CWI_partial_fill,N/A,200+,High_E,0.95,57.4
"Cavity Wall Insulation",CWI_partial_fill,N/A,200+,Low_E,0.95,62.6
"Cavity Wall Insulation",CWI_partial_fill,N/A,200+,High_F,0.95,70
"Cavity Wall Insulation",CWI_partial_fill,N/A,200+,Low_F,0.95,78.2
"Cavity Wall Insulation",CWI_partial_fill,N/A,200+,High_G,0.95,89.3
"Cavity Wall Insulation",CWI_partial_fill,N/A,200+,Low_G,0.95,101.3
"External / Internal Wall Insulation",IWI_solid_1.7_0.55,N/A,0-72,High_B,0.95,81
"External / Internal Wall Insulation",IWI_solid_1.7_0.55,N/A,0-72,Low_B,0.95,81.6
